job_id,title,description,created_at,required_tags
4b297c33-da62-4963-9ff6-6cedad480b72,Principal Software,"## Job Description

Join our team as a Principal Software and contribute to building next-generation solutions.

### What You'll Do

- Develop scalable software applications using algorithms, data structures, design patterns

### What We Look For

- Proven software expertise at principal level
- Deep knowledge of algorithms, data structures, design patterns, testing
- Collaborative team player

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['system-architecture', 'communication', 'software-testing', 'database-management', 'scalability', 'leadership']"
bf810b89-fffa-4479-b4dd-e1cda1c5be6a,Lead Security,"## Position Overview

We're looking for an experienced Lead Security to help scale our platform.

### Core Duties

- Implement and maintain security infrastructure with OWASP, cryptography, SIEM

### Qualifications

- Lead level experience with security technologies
- Experience with OWASP, cryptography, SIEM, penetration testing
- Excellent communication skills

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['security-practices', 'software-testing', 'leadership', 'career-development', 'mentorship', 'authentication-authorization']"
92496650-d049-4cf9-a97d-ae1a00468470,Principal Software,"## About the Role

We are seeking a Principal Software professional to join our growing team.

### Responsibilities

- Build and optimize software solutions with algorithms, data structures, design patterns

### What We Look For

- Proven software expertise at principal level
- Deep knowledge of algorithms, data structures, design patterns, testing
- Collaborative team player

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['communication', 'software-testing', 'database-management', 'leadership', 'analytical-thinking', 'quality-assurance']"
7376a1eb-7ab0-4ddd-a26d-7e68b9973470,Solutions Developer,"## Position Overview

We're looking for an experienced Mid Solutions to help scale our platform.

### Key Responsibilities

- Design, develop, and maintain solutions systems using architecture, technical leadership, client-facing

### What We Look For

- Proven solutions expertise at mid level
- Deep knowledge of architecture, technical leadership, client-facing, solution design
- Collaborative team player

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['technical-knowledge', 'system-architecture', 'communication', 'scalability', 'leadership', 'software-engineering', 'technical-architecture', 'career-development']"
3bb1e2f4-582b-4b6f-a645-ea197521358a,Staff Product,"## Position Overview

We're looking for an experienced Staff Product to help scale our platform.

### What You'll Do

- Develop scalable product applications using product management, user research, roadmapping

### What We Look For

- Proven product expertise at staff level
- Deep knowledge of product management, user research, roadmapping, stakeholder management
- Collaborative team player

### What We Offer

- Competitive salary and equity
- Flexible work arrangements
- Professional development opportunities
- Collaborative team environment",2025-10-04T12:52:48.559259,"['system-architecture', 'communication', 'scalability', 'leadership', 'mentorship', 'team-management']"
5a06bb87-e97b-46f3-b66b-e70ff8a83c66,Data Developer,"## Job Description

Join our team as a Mid Data and contribute to building next-generation solutions.

### What You'll Do

- Develop scalable data applications using Python, SQL, Spark

### What We Look For

- Proven data expertise at mid level
- Deep knowledge of Python, SQL, Spark, Kafka
- Collaborative team player

### What We Offer

- Competitive salary and equity
- Flexible work arrangements
- Professional development opportunities
- Collaborative team environment",2025-10-04T12:52:48.559259,"['technical-knowledge', 'system-architecture', 'communication', 'database-management', 'scalability', 'software-engineering']"
a674bf6d-3ac8-42b0-9690-fb1b961a681d,Senior Site Reliability Engineer,"## About the Role

We are seeking a Senior Site Reliability professional to join our growing team.

### What You'll Do

- Develop scalable site reliability applications using monitoring, incident response, automation

### What We Look For

- Proven site reliability expertise at senior level
- Deep knowledge of monitoring, incident response, automation, reliability
- Collaborative team player

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['technical-knowledge', 'system-architecture', 'communication', 'scalability', 'leadership', 'software-engineering', 'mentorship']"
a8b11332-323f-48cd-9593-f4771aa51014,Staff Solutions,"## About the Role

We are seeking a Staff Solutions professional to join our growing team.

### What You'll Do

- Develop scalable solutions applications using architecture, technical leadership, client-facing

### Requirements

- Staff experience in solutions development
- Proficiency in architecture, technical leadership, client-facing, solution design
- Strong problem-solving skills

### Benefits

- Comprehensive health coverage
- Remote work options
- Learning and growth opportunities
- Innovative projects",2025-10-04T12:52:48.559259,"['system-architecture', 'communication', 'scalability', 'leadership', 'technical-architecture', 'career-development', 'mentorship']"
db55c419-aff6-4773-b071-a38e695b66f6,Staff Frontend,"## About the Opportunity

We're hiring a Staff Frontend to drive innovation in our technology stack.

### Core Duties

- Implement and maintain frontend infrastructure with React, Vue.js, Angular

### Qualifications

- Staff level experience with frontend technologies
- Experience with React, Vue.js, Angular, TypeScript
- Excellent communication skills

### What We Offer

- Competitive salary and equity
- Flexible work arrangements
- Professional development opportunities
- Collaborative team environment",2025-10-04T12:52:48.559259,"['javascript-ecosystem', 'communication', 'leadership', 'mentorship', 'user-interface', 'team-management']"
39c3774c-9fe4-4688-9fd6-8ca4d5926bfb,Full-Stack Specialist,"## About the Opportunity

We're hiring a Specialist Full-Stack to drive innovation in our technology stack.

### Responsibilities

- Build and optimize full-stack solutions with MERN, MEAN, PERN

### Qualifications

- Specialist level experience with full-stack technologies
- Experience with MERN, MEAN, PERN, Django
- Excellent communication skills

### What We Offer

- Competitive salary and equity
- Flexible work arrangements
- Professional development opportunities
- Collaborative team environment",2025-10-04T12:52:48.559259,"['backend-development', 'communication', 'team-management', 'frontend-development', 'system-design', 'technical-architecture']"
